"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","363","testUpdateCollectionPoint","rieaya Suite","Sun Aug 24 10:23:16 EEST 2025","passed","Sun Aug 24 10:23:16 EEST 2025","CollectionsPointTest","test","CollectionsPointTest","testUpdateCollectionPoint"
"","858","testToggleActivation","rieaya Suite","Sun Aug 24 10:24:28 EEST 2025","passed","Sun Aug 24 10:24:29 EEST 2025","TestService","test","TestService","testToggleActivation"
"","763","testCreatingCity","rieaya Suite","Sun Aug 24 10:23:26 EEST 2025","passed","Sun Aug 24 10:23:27 EEST 2025","LaundryCities","test","LaundryCities","testCreatingCity"
"","305","testGetAllOrderServicesWithDeliveryStatus","rieaya Suite","Sun Aug 24 10:24:37 EEST 2025","passed","Sun Aug 24 10:24:37 EEST 2025","QueryTestOfOrders","test","QueryTestOfOrders","testGetAllOrderServicesWithDeliveryStatus"
"","511","testDeletePrivilege","rieaya Suite","Sun Aug 24 10:24:22 EEST 2025","passed","Sun Aug 24 10:24:23 EEST 2025","Priviledge","test","Priviledge","testDeletePrivilege"
"","265","testGetSpecificCity","rieaya Suite","Sun Aug 24 10:23:27 EEST 2025","passed","Sun Aug 24 10:23:28 EEST 2025","LaundryCities","test","LaundryCities","testGetSpecificCity"
"","342","testGetAllOrderServicesWithOrderStatus","rieaya Suite","Sun Aug 24 10:24:39 EEST 2025","passed","Sun Aug 24 10:24:40 EEST 2025","QueryTestOfOrders","test","QueryTestOfOrders","testGetAllOrderServicesWithOrderStatus"
"","609","testGetSpecificRule","rieaya Suite","Sun Aug 24 10:24:04 EEST 2025","failed","Sun Aug 24 10:24:05 EEST 2025","OrderRules","test","OrderRules","testGetSpecificRule"
"","335","testChangeActivationRequest","rieaya Suite","Sun Aug 24 10:23:04 EEST 2025","passed","Sun Aug 24 10:23:04 EEST 2025","DiscountAddingRequests","test","DiscountAddingRequests","testChangeActivationRequest"
"","326","testChangeActivation","rieaya Suite","Sun Aug 24 10:23:06 EEST 2025","passed","Sun Aug 24 10:23:07 EEST 2025","DiscountOrAdditions","test","DiscountOrAdditions","testChangeActivation"
"","289","testToggleBranchActivation","rieaya Suite","Sun Aug 24 10:23:01 EEST 2025","passed","Sun Aug 24 10:23:02 EEST 2025","NewBranch","test","NewBranch","testToggleBranchActivation"
"","452","testCreateDiscount","rieaya Suite","Sun Aug 24 10:23:05 EEST 2025","passed","Sun Aug 24 10:23:05 EEST 2025","DiscountOrAdditions","test","DiscountOrAdditions","testCreateDiscount"
"","377","testGetSpecificAttachment","rieaya Suite","Sun Aug 24 10:23:22 EEST 2025","passed","Sun Aug 24 10:23:22 EEST 2025","GallaryAttachment","test","GallaryAttachment","testGetSpecificAttachment"
"","333","testGetSpecificService","rieaya Suite","Sun Aug 24 10:24:28 EEST 2025","passed","Sun Aug 24 10:24:28 EEST 2025","TestService","test","TestService","testGetSpecificService"
"","429","testGetDiscountsByOrderBy2","rieaya Suite","Sun Aug 24 10:23:12 EEST 2025","passed","Sun Aug 24 10:23:13 EEST 2025","DiscountOrAdditions","test","DiscountOrAdditions","testGetDiscountsByOrderBy2"
"","502","testCreateCollectionPoint","rieaya Suite","Sun Aug 24 10:23:14 EEST 2025","passed","Sun Aug 24 10:23:15 EEST 2025","CollectionsPointTest","test","CollectionsPointTest","testCreateCollectionPoint"
"","305","testGetAdminStaffPermission","rieaya Suite","Sun Aug 24 10:22:58 EEST 2025","failed","Sun Aug 24 10:22:58 EEST 2025","AssignPermissions","test","AssignPermissions","testGetAdminStaffPermission"
"","840","testGetPackageRanks","rieaya Suite","Sun Aug 24 10:24:18 EEST 2025","passed","Sun Aug 24 10:24:19 EEST 2025","NewPackageTest","test","NewPackageTest","testGetPackageRanks"
"","304","testDeleteBranch","rieaya Suite","Sun Aug 24 10:23:02 EEST 2025","passed","Sun Aug 24 10:23:02 EEST 2025","NewBranch","test","NewBranch","testDeleteBranch"
"","599","testDeleteAttachment","rieaya Suite","Sun Aug 24 10:23:22 EEST 2025","passed","Sun Aug 24 10:23:23 EEST 2025","GallaryAttachment","test","GallaryAttachment","testDeleteAttachment"
"","537","testGetDiscountsByOrderBy2","rieaya Suite","Sun Aug 24 10:23:13 EEST 2025","passed","Sun Aug 24 10:23:14 EEST 2025","DiscountOrAdditions","test","DiscountOrAdditions","testGetDiscountsByOrderBy2"
"","363","testGetSpecificInvoice","rieaya Suite","Sun Aug 24 10:23:23 EEST 2025","failed","Sun Aug 24 10:23:24 EEST 2025","Invoices","test","Invoices","testGetSpecificInvoice"
"","347","testGetAllDiscounts","rieaya Suite","Sun Aug 24 10:23:05 EEST 2025","passed","Sun Aug 24 10:23:06 EEST 2025","DiscountOrAdditions","test","DiscountOrAdditions","testGetAllDiscounts"
"","319","testGetOrderStatuses","rieaya Suite","Sun Aug 24 10:24:10 EEST 2025","passed","Sun Aug 24 10:24:10 EEST 2025","NewOrderService","test","NewOrderService","testGetOrderStatuses"
"","750","testGetAllServices","rieaya Suite","Sun Aug 24 10:24:27 EEST 2025","passed","Sun Aug 24 10:24:28 EEST 2025","TestService","test","TestService","testGetAllServices"
"","567","testGetAllOrderServicesWithAssignmentStatus","rieaya Suite","Sun Aug 24 10:24:41 EEST 2025","passed","Sun Aug 24 10:24:42 EEST 2025","QueryTestOfOrders","test","QueryTestOfOrders","testGetAllOrderServicesWithAssignmentStatus"
"","719","testCreateOrderServiceByLaundryStaff","rieaya Suite","Sun Aug 24 10:24:08 EEST 2025","passed","Sun Aug 24 10:24:09 EEST 2025","NewOrderService","test","NewOrderService","testCreateOrderServiceByLaundryStaff"
"","603","testAddingCollectionPoints","rieaya Suite","Sun Aug 24 10:22:52 EEST 2025","passed","Sun Aug 24 10:22:53 EEST 2025","AddingTests","test","AddingTests","testAddingCollectionPoints"
"","459","testGetDiscountsByOrderBy2","rieaya Suite","Sun Aug 24 10:23:12 EEST 2025","passed","Sun Aug 24 10:23:12 EEST 2025","DiscountOrAdditions","test","DiscountOrAdditions","testGetDiscountsByOrderBy2"
"","311","Get All States","rieaya Suite","Sun Aug 24 10:24:26 EEST 2025","passed","Sun Aug 24 10:24:26 EEST 2025","StatesTests","test","StatesTests","testGetAllStates"
"","320","testGetAllOrderServicesWithOrderStatus","rieaya Suite","Sun Aug 24 10:24:41 EEST 2025","passed","Sun Aug 24 10:24:41 EEST 2025","QueryTestOfOrders","test","QueryTestOfOrders","testGetAllOrderServicesWithOrderStatus"
"","267","testToggleRule","rieaya Suite","Sun Aug 24 10:24:22 EEST 2025","passed","Sun Aug 24 10:24:22 EEST 2025","Priviledge","test","Priviledge","testToggleRule"
"","389","testGetAllOrderServicesWithDeliveryStatus","rieaya Suite","Sun Aug 24 10:24:37 EEST 2025","passed","Sun Aug 24 10:24:37 EEST 2025","QueryTestOfOrders","test","QueryTestOfOrders","testGetAllOrderServicesWithDeliveryStatus"
"","379","testAssignPermissionToRole","rieaya Suite","Sun Aug 24 10:22:58 EEST 2025","passed","Sun Aug 24 10:22:59 EEST 2025","AssignPermissions","test","AssignPermissions","testAssignPermissionToRole"
"","948","testUploadLogo","rieaya Suite","Sun Aug 24 10:24:29 EEST 2025","failed","Sun Aug 24 10:24:30 EEST 2025","UploadImage","test","UploadImage","testUploadLogo"
"","339","testGetSpecificWorkingHoursCase","rieaya Suite","Sun Aug 24 10:24:32 EEST 2025","passed","Sun Aug 24 10:24:32 EEST 2025","WorkingHours","test","WorkingHours","testGetSpecificWorkingHoursCase"
"","350","testDeleteEmployee","rieaya Suite","Sun Aug 24 10:23:19 EEST 2025","passed","Sun Aug 24 10:23:19 EEST 2025","EmployeeTests","test","EmployeeTests","testDeleteEmployee"
"","770","testGetAllOrderServicesWithRankId","rieaya Suite","Sun Aug 24 10:24:33 EEST 2025","passed","Sun Aug 24 10:24:33 EEST 2025","QueryTestOfOrders","test","QueryTestOfOrders","testGetAllOrderServicesWithRankId"
"","319","testGetDiscountsByOrderBy","rieaya Suite","Sun Aug 24 10:23:09 EEST 2025","passed","Sun Aug 24 10:23:10 EEST 2025","DiscountOrAdditions","test","DiscountOrAdditions","testGetDiscountsByOrderBy"
"","355","testUpdatePackage","rieaya Suite","Sun Aug 24 10:24:17 EEST 2025","passed","Sun Aug 24 10:24:18 EEST 2025","NewPackageTest","test","NewPackageTest","testUpdatePackage"
"","320","testGetDiscountsByOrderBy","rieaya Suite","Sun Aug 24 10:23:10 EEST 2025","passed","Sun Aug 24 10:23:10 EEST 2025","DiscountOrAdditions","test","DiscountOrAdditions","testGetDiscountsByOrderBy"
"","312","testGetAllEditingRequests2","rieaya Suite","Sun Aug 24 10:22:55 EEST 2025","passed","Sun Aug 24 10:22:55 EEST 2025","AddingTests","test","AddingTests","testGetAllEditingRequests2"
"","349","testGetDiscountsByOrderBy","rieaya Suite","Sun Aug 24 10:23:08 EEST 2025","passed","Sun Aug 24 10:23:09 EEST 2025","DiscountOrAdditions","test","DiscountOrAdditions","testGetDiscountsByOrderBy"
"","451","testGetAllPackages","rieaya Suite","Sun Aug 24 10:24:16 EEST 2025","passed","Sun Aug 24 10:24:17 EEST 2025","NewPackageTest","test","NewPackageTest","testGetAllPackages"
"","1381","GetSpecificLaundry","rieaya Suite","Sun Aug 24 10:23:31 EEST 2025","passed","Sun Aug 24 10:23:32 EEST 2025","LaundryTests","test","LaundryTests","testGetSpecificLaundry"
"","319","testDeleteService","rieaya Suite","Sun Aug 24 10:24:29 EEST 2025","passed","Sun Aug 24 10:24:29 EEST 2025","TestService","test","TestService","testDeleteService"
"","427","testRemoveUserPermission","rieaya Suite","Sun Aug 24 10:22:58 EEST 2025","failed","Sun Aug 24 10:22:58 EEST 2025","AssignPermissions","test","AssignPermissions","testRemoveUserPermission"
"","475","testCreateOrderRule","rieaya Suite","Sun Aug 24 10:24:03 EEST 2025","passed","Sun Aug 24 10:24:04 EEST 2025","OrderRules","test","OrderRules","testCreateOrderRule"
"","281","testUpdateBranchStatus","rieaya Suite","Sun Aug 24 10:23:02 EEST 2025","passed","Sun Aug 24 10:23:02 EEST 2025","NewBranch","test","NewBranch","testUpdateBranchStatus"
"","720","testDeleteOrderRule","rieaya Suite","Sun Aug 24 10:24:06 EEST 2025","passed","Sun Aug 24 10:24:07 EEST 2025","OrderRules","test","OrderRules","testDeleteOrderRule"
"","590","createCatogry","rieaya Suite","Sun Aug 24 09:26:31 EEST 2025","passed","Sun Aug 24 09:26:32 EEST 2025","ServiceCategoryTests","test","ServiceCategoryTests","createCatogry"
"","264","testGetPaymentStatus","rieaya Suite","Sun Aug 24 10:24:14 EEST 2025","passed","Sun Aug 24 10:24:14 EEST 2025","NewOrderService","test","NewOrderService","testGetPaymentStatus"
"","346","testGetAllOrderServicesWithOrderStatus","rieaya Suite","Sun Aug 24 10:24:40 EEST 2025","passed","Sun Aug 24 10:24:40 EEST 2025","QueryTestOfOrders","test","QueryTestOfOrders","testGetAllOrderServicesWithOrderStatus"
